Concentration,lat,lgn,Date
0.62,0.357683,32.584453,5/10/2017
0.62,0.357664,32.584457,5/10/2017
0.62,0.357669,32.584461,5/10/2017
0.62,0.357685,32.584468,5/10/2017
0.62,0.35767,32.584465,5/10/2017
0.62,0.357664,32.584453,5/10/2017
0.62,0.357675,32.584449,5/10/2017
0.62,0.35767,32.584468,5/10/2017
0.62,0.357676,32.584434,5/10/2017
0.62,0.357678,32.584426,5/10/2017
0.62,0.357677,32.584491,5/10/2017
0.62,0.357675,32.584503,5/10/2017
0.62,0.357682,32.584461,5/10/2017
0.62,0.357673,32.584461,5/10/2017
0.62,0.357658,32.584453,5/10/2017
0.62,0.357668,32.584442,5/10/2017
0.62,0.357667,32.584426,5/10/2017
0.62,0.357662,32.584426,5/10/2017
0.62,0.357675,32.58443,5/10/2017
0.62,0.357663,32.584426,5/10/2017
0.62,0.357672,32.584438,5/10/2017
0.62,0.357657,32.584449,5/10/2017
0.62,0.357652,32.584453,5/10/2017
0.62,0.35771,32.584468,5/10/2017
0.62,0.357756,32.584503,5/10/2017
0.62,0.357632,32.584434,5/10/2017
0.62,0.357676,32.584484,5/10/2017
0.62,0.357656,32.584465,5/10/2017
0.62,0.357674,32.584457,5/10/2017
0.62,0.35771,32.58448,5/10/2017
0.62,0.357714,32.584476,5/10/2017
0.62,0.357678,32.584468,5/10/2017
0.62,0.357672,32.584495,5/10/2017
0.62,0.357688,32.584438,5/10/2017
0.62,0.357717,32.58448,5/10/2017
0.62,0.357733,32.584526,5/10/2017
0.62,0.357692,32.584453,5/10/2017
0.62,0.357633,32.584491,5/10/2017
0.62,0.357675,32.58451,5/10/2017
0.62,0.357687,32.58448,5/10/2017
0.62,0.35768,32.584453,5/10/2017
0.62,0.357681,32.584411,5/10/2017
0.62,0.357677,32.584442,5/10/2017
0.62,0.357672,32.584434,5/10/2017
0.62,0.357639,32.584449,5/10/2017
0.62,0.357661,32.584541,5/10/2017
0.62,0.357636,32.58448,5/10/2017
0.62,0.357694,32.584487,5/10/2017
0.62,0.357701,32.584487,5/10/2017
0.62,0.357706,32.584484,5/10/2017
0.62,0.357701,32.584503,5/10/2017
0.62,0.357697,32.584491,5/10/2017
0.62,0.357695,32.5844,5/10/2017
0.62,0.357707,32.584445,5/10/2017
0.62,0.357681,32.584423,5/10/2017
0.62,0.35768,32.584468,5/10/2017
0.62,0.357663,32.584461,5/10/2017
0.62,0.357677,32.584442,5/10/2017
0.62,0.3577,32.584461,5/10/2017
0.62,0.3577,32.584434,5/10/2017
0.62,0.357672,32.584461,5/10/2017
0.62,0.357686,32.58448,5/10/2017
0.62,0.357688,32.584495,5/10/2017
0.62,0.357706,32.58448,5/10/2017
0.62,0.3577,32.584438,5/10/2017
0.62,0.357691,32.584415,5/10/2017
0.62,0.357686,32.584484,5/10/2017
0.62,0.357668,32.584457,5/10/2017
0.62,0.357648,32.584468,5/10/2017
0.62,0.357645,32.584434,5/10/2017
0.62,0.357662,32.584487,5/10/2017
0.62,0.357664,32.584487,5/10/2017
0.62,0.357654,32.584476,5/10/2017
0.62,0.357642,32.58448,5/10/2017
0.62,0.357641,32.584491,5/10/2017
0.62,0.357656,32.58448,5/10/2017
0.62,0.357654,32.584449,5/10/2017
0.62,0.357657,32.584457,5/10/2017
0.62,0.357668,32.584438,5/10/2017
0.62,0.357664,32.584434,5/10/2017
